open,high,low,close,volume,date,average
2684.5,2725.0,2670.05,2710.3501,2411115,2024-01-25,2697.42505
2713.2,2905.0,2713.2,2896.1499,823950,2024-01-29,2804.6749499999996
2905.3999,2917.95,2808.75,2814.8501,303348,2024-01-30,2860.125
2811.45,2869.45,2804.95,2853.2,108704,2024-01-31,2832.325
2871.2,2885.25,2836.7,2852.7,88274,2024-02-01,2861.95
2864.45,2949.8999,2864.45,2914.75,653622,2024-02-02,2889.6
2921.2,2940.0,2864.0,2877.05,128072,2024-02-05,2899.125
2887.4,2887.4,2840.8,2856.8,115081,2024-02-06,2872.1000000000004
2870.0,2898.0,2858.45,2883.4,320512,2024-02-07,2876.7
2895.6,2919.75,2856.7,2902.95,98849,2024-02-08,2899.2749999999996
2905.0,2944.15,2902.6,2922.3,812171,2024-02-09,2913.65
2922.3,2922.35,2885.0,2902.95,147206,2024-02-12,2912.625
2910.4,2957.8,2909.4,2928.95,322902,2024-02-13,2919.675
2911.4,2966.6,2911.4,2962.6,122707,2024-02-14,2937.0
2963.4,2968.4,2932.9,2941.9,81881,2024-02-15,2952.65
2945.05,2953.3,2917.35,2921.35,542931,2024-02-16,2933.2
2921.35,2958.8,2907.55,2946.15,163441,2024-02-19,2933.75
2949.9,2949.9,2924.0,2940.75,104430,2024-02-20,2945.325
2943.85,2977.0,2916.15,2938.2,103405,2024-02-21,2941.0249999999996
2937.95,2969.1,2916.0,2963.35,212597,2024-02-22,2950.6499999999996
2971.4,2996.15,2965.25,2986.35,653001,2024-02-23,2978.875
2989.75,2989.75,2964.55,2974.35,40874,2024-02-26,2982.05
2968.8,2999.85,2956.0,2970.4,83211,2024-02-27,2969.6000000000004
2964.9,2982.0,2900.55,2909.0,64333,2024-02-28,2936.95
2931.05,2958.0,2909.55,2924.75,192376,2024-02-29,2927.9
2916.7,2999.0,2916.7,2986.0,544407,2024-03-01,2951.35
2993.9,3000.0,2975.0,2980.85,13490,2024-03-02,2987.375
2981.0,3024.8,2975.05,3011.6,139795,2024-03-04,2996.3
3011.7,3011.7,2973.0,2998.3,70928,2024-03-05,3005.0
2989.45,3019.0,2957.0,3005.95,110021,2024-03-06,2997.7
3002.15,3005.9,2951.25,2958.1,387052,2024-03-07,2980.125
2984.7,2984.7,2927.35,2931.2,111587,2024-03-11,2957.95
2932.0,2976.3,2932.0,2950.2,83500,2024-03-12,2941.1
2955.45,2965.95,2855.85,2864.7,97957,2024-03-13,2910.075
2865.0,2897.35,2851.0,2865.25,162637,2024-03-14,2865.125
2854.95,2866.45,2826.9,2837.25,396001,2024-03-15,2846.1
2837.2,2883.0,2833.65,2878.35,146410,2024-03-18,2857.7749999999996
2865.6,2873.6,2835.0,2850.75,128206,2024-03-19,2858.175
2851.05,2890.2,2848.05,2886.8,152906,2024-03-20,2868.925
2891.4,2915.0,2889.65,2901.3,77091,2024-03-21,2896.3500000000004
2897.05,2920.0,2895.35,2909.9,562484,2024-03-22,2903.4750000000004
2888.6,2905.25,2877.0,2884.15,943865,2024-03-26,2886.375
2899.65,2999.9,2897.9,2987.85,471025,2024-03-27,2943.75
2994.35,3011.25,2959.0,2976.8,422263,2024-03-28,2985.575
2985.0,2988.5,2965.0,2969.5,229355,2024-04-01,2977.25
2969.5,2987.9,2950.0,2971.3,118525,2024-04-02,2970.4
2966.9,2966.9,2938.0,2942.4,127109,2024-04-03,2954.65
2958.55,2958.55,2900.5,2926.45,104590,2024-04-04,2942.5
2928.0,2941.5,2911.9,2919.95,431312,2024-04-05,2923.975
2923.4,2980.5,2923.4,2971.0,148392,2024-04-08,2947.2
2975.0,2978.75,2925.0,2927.1,59883,2024-04-09,2951.05
2949.95,2974.0,2934.55,2958.6,164355,2024-04-10,2954.2749999999996
2955.0,2973.0,2925.7,2935.1,677948,2024-04-12,2945.05
2908.65,2964.5,2893.15,2932.9,301990,2024-04-15,2920.775
2909.95,2942.0,2902.1,2934.45,157052,2024-04-16,2922.2
2929.0,2971.5,2919.0,2928.15,205714,2024-04-18,2928.575
2918.95,2947.0,2886.75,2941.6,530975,2024-04-19,2930.2749999999996
2950.0,2964.3,2936.6,2960.6,175983,2024-04-22,2955.3
2968.55,2986.05,2912.5,2918.5,273433,2024-04-23,2943.525
2922.3,2936.65,2898.7,2900.6,78386,2024-04-24,2911.45
2888.0,2935.0,2885.2,2918.4,192974,2024-04-25,2903.2
2925.15,2930.0,2900.0,2903.0,450580,2024-04-26,2914.075
2902.95,2935.55,2900.1,2930.5,194646,2024-04-29,2916.725
2930.9,2965.0,2927.0,2931.15,237096,2024-04-30,2931.025
2945.35,2953.9,2927.65,2932.1,124785,2024-05-02,2938.725
2938.55,2949.1,2832.7,2868.5,343554,2024-05-03,2903.525
2875.0,2881.45,2836.25,2839.0,143404,2024-05-06,2857.0
2832.0,2840.75,2785.0,2803.95,169570,2024-05-07,2817.975
2795.0,2866.95,2795.0,2836.95,278869,2024-05-08,2815.975
2859.0,2859.0,2780.0,2786.8,106347,2024-05-09,2822.9
2790.15,2821.35,2775.2,2815.15,382788,2024-05-10,2802.65
2798.05,2813.15,2768.05,2805.3,131567,2024-05-13,2801.675
2805.0,2854.05,2800.0,2839.8,137617,2024-05-14,2822.4
2845.0,2859.4,2825.5,2831.15,51822,2024-05-15,2838.075
2835.0,2854.3,2796.6,2850.2,71121,2024-05-16,2842.6
2842.35,2874.85,2826.0,2870.7,415360,2024-05-17,2856.5249999999996
2872.1,2878.8,2865.0,2869.05,9310,2024-05-18,2870.575
2859.0,2883.0,2852.9,2871.3,130910,2024-05-21,2865.15
2872.9,2936.8,2872.9,2920.75,110840,2024-05-22,2896.825
2918.3,2983.55,2912.0,2973.2,197060,2024-05-23,2945.75
2966.0,2977.0,2951.2,2959.8,456600,2024-05-24,2962.9
2960.8,2967.45,2924.0,2932.45,134570,2024-05-27,2946.625
2941.95,2957.0,2905.4,2911.25,116320,2024-05-28,2926.6
2897.0,2916.1,2877.0,2881.45,65080,2024-05-29,2889.225
2884.0,2884.0,2841.5,2850.0,54130,2024-05-30,2867.0
2864.65,2884.2,2843.25,2859.6,797290,2024-05-31,2862.125
2974.9,3029.9,2918.0,3021.25,315230,2024-06-03,2998.075
3007.95,3007.95,2719.15,2793.6,1040000,2024-06-04,2900.7749999999996
2848.95,2861.35,2768.05,2842.15,180090,2024-06-05,2845.55
2869.0,2886.0,2843.0,2863.75,255380,2024-06-06,2866.375
2858.0,2944.5,2852.95,2939.45,952210,2024-06-07,2898.725
2943.75,2986.55,2935.55,2940.6,87070,2024-06-10,2942.175
2949.95,2949.95,2910.0,2913.5,125970,2024-06-11,2931.725
2913.5,2952.0,2911.0,2926.05,172570,2024-06-12,2919.775
2946.0,2946.0,2920.55,2928.65,57560,2024-06-13,2937.325
2936.1,2958.7,2913.4,2954.55,186350,2024-06-14,2945.325
2970.2,2974.0,2941.2,2961.4,108020,2024-06-18,2965.8
2971.4,2975.2,2911.25,2917.2,97510,2024-06-19,2944.3
2925.1,2964.9,2900.8,2947.25,99020,2024-06-20,2936.175
2947.2,2947.2,2880.5,2912.2,897460,2024-06-21,2929.7
